,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
352,lavumisa,0,ZA,1566607233,38,-27.31,31.88,57.32,4.43
353,gilgit,37,PK,1566607234,64,35.92,74.31,47.7,4.59
354,pauini,88,BR,1566607234,52,-7.71,-67.0,81.47,1.01
355,avera,90,US,1566607235,94,33.19,-82.53,78.89,8.05
356,mercedes,85,UY,1566607236,68,-33.25,-58.03,51.01,7.99
357,san jose,1,HN,1566606993,45,14.25,-87.96,87.8,12.75
358,ialibu,97,PG,1566607237,93,-6.28,143.99,67.23,2.51
359,nanortalik,17,GL,1566607238,90,60.14,-45.24,40.2,1.5
360,sembakung,40,ID,1566607239,88,3.82,117.25,78.8,5.82
361,grindavik,75,IS,1566607239,81,63.84,-22.43,51.8,8.05
362,srandakan,89,ID,1566607240,85,-7.94,110.25,74.27,10.38
363,jacala,89,MX,1566607241,67,21.0,-99.19,74.42,5.39
364,saquena,96,PE,1566607242,98,-4.67,-73.52,71.41,2.19
365,salinas,1,US,1566607243,64,36.67,-121.66,69.62,19.46
366,sao gabriel da cachoeira,19,BR,1566607243,76,-0.13,-67.09,78.27,3.11
367,chiredzi,0,ZW,1566607244,60,-21.05,31.67,58.86,3.51
368,markova,75,RU,1566607245,88,52.21,104.21,64.4,4.47
369,bairnsdale,0,AU,1566607246,59,-37.83,147.63,58.35,9.31
370,saint-georges,58,CA,1566607117,74,46.12,-70.67,59.34,1.01
371,kendari,69,ID,1566607248,74,-3.99,122.52,79.55,1.05
372,verkhniy avzyan,95,RU,1566607249,99,53.53,57.54,55.88,2.33
373,skelleftea,83,SE,1566607249,87,64.75,20.95,50.92,10.29
374,satinka,100,RU,1566607250,88,52.38,41.68,60.48,9.04
375,belmonte,0,PT,1566607251,80,40.36,-7.35,68.9,1.19
376,xianyang,38,CN,1566607252,83,34.31,108.72,75.2,4.47
377,tanete,81,ID,1566607252,76,-3.94,119.78,79.71,12.5
378,brae,100,GB,1566607253,87,60.4,-1.35,57.2,17.22
379,dong hoi,100,VN,1566607254,91,17.48,106.6,75.89,2.98
380,visby,15,SE,1566607255,88,57.64,18.3,62.69,11.41
381,waipawa,98,NZ,1566607255,81,-39.94,176.59,48.99,4.0
382,beoumi,84,CI,1566607256,96,7.67,-5.58,71.0,3.83
383,tokur,100,RU,1566607257,94,53.13,132.9,50.44,3.74
